TableCreateSub,CompiereUserException,2.0
MInOutConfirm,X_M_Inventory,1.5
ImportBPartner,DB,12.5
ProjectGenPO,X_C_Order,3.5
WebDoc,GenericElement,0.5
FinReport,PO,1.5
CalloutInOut,MUOMConversion,2.0
RequestInvoice,X_R_RequestType,0.5
ExpenseSOrder,MOrderLine,3.0
MigrateData,MUser,1.5
MInOutLine,X_M_Product,2.5
MDistributionRun,X_M_DistributionRun,2.5
MNewsItem,PO,5.5
MAlert,DB,1.0
ReplenishReport,PO,8.5
WebProjectDeploy,Ctx,1.0
MDiscountSchema,X_M_DiscountSchemaLine,1.0
RoleMakeSysAdmin,X_AD_User,0.5
MProjectType,Query,2.0
CalloutInvoice,CLogger,1.5
FactAcctReset,ProcessInfoParameter,2.0
TemporaryDelete,X_AD_Table,1.5
MPeriodControl,X_C_PeriodControl,6.5
InvoiceBatchProcess,SvrProcess,4.0
MAsset,X_AD_User,1.5
MBPartnerInfo,Ctx,1.5
BankStatementMatcher,ProcessInfoParameter,0.5
MProductPricing,DB,1.0
MInvoice,X_C_CashLine,1.0
X_C_Calendar,PO,2.0
FinReportPeriod,DB,2.5
VolumeTest,X_AD_User,1.0
FTPClient,FTP,2.0
TranslationImportExport,ProcessInfoParameter,3.5
AssetDelivery,X_AD_Client,2.0
WebUtil,NamePair,1.0
MSLAMeasure,X_PA_SLA_Measure,9.0
MInOutLineMA,PO,3.0
ImportConversionRate,MConversionRate,1.0
